suj	bloc	prob	SPEECH
24	1	5	en fait après l'expérience je rentre chez moi à 10 h enfin 10 h 30 du coup et du coup je dois aller promener mes chiens dans le bois pendant une heure et j'étais en train de me demander si soit je me télécharge un épisode de ma série que je regarde soit, je je joue à Pokémon go et après je me suis dit que quand j'allais rapporter ça à la dame de l'enregistrement enfin j'ai un peu honte de jouer à ce jeu du coup voilà mais je l'ai quand même dit voilà et après ça c'est arrêté
24	1	6	au début mon ventre gargouillais du coup je pensais à ça et que je n'ai pas mangé ce matin et puis il y a une porte je ne sais pas si c'est porte de la salle juste à côté ou une autre porte, mais il y a une porte qui s'est ouverte et une madame qui a dit quelque chose mais du coup je n'ai pas bien entendu ce qu'elle a dit du coup j'étais en train de me demander si c'était l'expérimentatrice qui était partie puis j'ai entendu qu'elle chipotait à des papiers du coup je me suis dit que ce n'était pas elle
24	1	7	je pensais enfin je me demandais ce que ça allait être la quatrième partie de l'expérience je me suis demandé si ça allait être la même chose que maintenant puis après j'ai eu un petit moment ou j'ai pensé à rien enfin à pas grand-chose en tout cas et puis-je me suis dit zut je me souviens plus ce que j'ai pensé au début puis-je me suis souvenue vu que je vous ai raconté et voilà
24	2	1	j'étais en train de me dire qu'au tout début de l'expérience j'avais du mal à déjà à vraiment partir dans mes pensées au-delà de mes pensées liées à l'expérience et puisque maintenant c'est beaucoup plus facile à dire enfin genre à un peu divaguer dans mes pensées et même à parler à parler à l'en a l'enregistrement parce que au début je trouvais ça bizarre de parler toute seule comme ça je n'ai pas l'habitude, mais plus enfin et du coup je me disais que maintenant je pouvais beaucoup plus parler
24	2	2	je continue à penser à ce que j'ai dit avant sur le fait que maintenant j'ose plus enfin je n'ose pas plus mais je vais plus dans mes pensées et et j'étais aussi en train de me dire qu'au début enfin, c'était un peu chiant, mais que maintenant je trouve que c'est chouette
24	2	3	au début je ne pensais pas à à grand-chose et puis j'ai après j'ai j'ai regardé un peu le clavier et il y avait une autre enfin moi je n'ai pas un mac et du coup il y avait une autre expérience ou j'avais du enfin je devais laisser mon mail et je ne trouvais pas l'arobase et là mes yeux se sont posés sur l'arobase du coup enfin j'ai repensé à cette expérience et je me suis dit ah il est là l'arobase
24	2	4	au début je me disais que si l'expérimentatrice devait écouter tous les enregistrements de tous les gens parce que quand je me suis inscrite j'ai vu qu'il y avait vraiment beaucoup de créneaux disponibles j'ai dit que ça allait prendre un temps fou puis j'ai eu l'impression que sur mon champ de vision à gauche il y avait une espèce de petite fais réseau lumineux là comme ça du coup je me suis dit est ce que la porte est entre ouverte du coup j'ai un peu tourné la tête en fait j'ai vu que c'était juste qu'il y a un truc blanc à côté de moi du coup je croyais que c'était de la lumière, mais c'était un truc blanc
24	2	5	d'abord je pensais à rien enfin et puis-je me suis dit qu'à Pâques enfin je ne vais pas voir mon copain pendant dix jours huit jours dix jours du coup, c'était pas cool et je me suis dit que parce que je vais en France chez mon père je me suis dit que je devrais bien avancer mes cours en attendant pour mes édams et que je devais lire mon livre d'Antonio et voilà
24	2	6	au début je me disais que ce que je disais était vraiment pas intéressant et que quand on enregistre puis j'ai toussé du coup ça m'a sortie de mes pensées je me suis bougée de place et j'ai allongé mes jambes du coup j'ai touché le mur d'en face je me suis demandée si la pièce d'à côté ils l'avaient entendu puis je me suis reconcentrée sur le point rouge jusqu'à jusqu'à la fin
24	2	7	je pensais au fait que hier soir je me sentais vraiment pas bien à cause de mon rhum du coup je me suis dit je dois me lever demain pour aller à 8 heures S'ONT en plus c'est deux heures et tout et maintenant je suis contente parce que ça va mieux et voilà et puis et puis-je me suis reconcentrée sur le point rouge, mais sans regarder l'écran et du coup je me disais qu'enfin, c'était drôle parce qu'il n'était pas dans mon champ de vision droit oui je voyais comme une petite boule et XXX voilà
24	2	8	les deux premiers ta pin sur la barre d'espace j'ai été un peu fort avec deux doigts du coup je me suis dit peut-être que je tape moins fort puis je me suis concentrée sur la boule rouge rien de plus je me suis demandée aussi si vu qu'il est 9 h et demi si ça allait finir à 10 h ou si j'étais en retard par rapport à l'expérience
25	1	1	je suis qu'au quart de l'expérience est ce que ça va ça va encore durer longtemps joué
25	1	2	à rien je cherchais juste une position confortable pour continuer
25	1	3	je me suis demandé si je j'appris quand le rond rouge est au centre en mais en fixant le clavier et pas le l'écran et puis-je me suis demandé comment j'arrive à écrire un SMS sans regarder l'écran alors que je ne connais pas le clavier
25	1	4	à rien j'étais, j'étais pas concentré
25	1	5	je me suis demandé s'il y avait des séances plus longues que d'autres donc j'ai compté combien de fois j'appris sur la barre espace là je suis à 28
25	1	6	je suis arrivé à 36 donc oui, c'est plus long que l'autre voilà
25	1	7	au début rien puis j'ai baillé et puis-je me suis demandé comment ça se fait que quand on baille les autres personnes aussi elles baillent voilà
25	2	1	j'étais en train de me dire que le pc a sonné et tout ça pour me dire joué c'est bien continu et puis-je me suis demandé si on va vraiment écouter tous les enregistrements de toutes les personnes
25	2	2	je me suis demandé si les autres personnes aussi elles disaient des trucs comme moi genre des trucs qui n'ont rien à voir voilà
25	2	3	personnellement rien, mais juste j'avais la paume de ma main qui me grattait donc j'essayais de gratter entre le temps où je devais appuyer sur la barre espace
25	2	4	alors je me suis demandé l'heure qu'il était je me suis demandé combien de fois j'avais appuyé sur la barre espace depuis qu'on a commencé et c'est tout
25	2	5	je me suis dit que je commence à être fatigué et après je me suis demandé est ce que c'est normal les rêves que je fais Style que je dors est
25	2	6	j'ai une bouteille d'aquarelle à côté de moi et je me disais vu qu'aquarelle ça appartient à coca comment ça se fait que en termes de chiffre de vente Pepsi est devant alors que à Pepsi ils font plus de ventes alors que Coca est devant Pepsi dans les plus grandes marques au niveau de la Bourse je comprends pas
25	2	7	pourquoi sur le nouveau il n'y a pas la pomme qui s'allume derrière et aussi pourquoi maintenant les chargeurs ils sont plus aimantés c'est des bêtes trucs comme ca casse la tête
25	2	8	depuis la XXX en dessous j'essaie de trouver une position confortable, mais il y a plein de câbles en dessous et je me dis que peut être il y a moyen que sans faire exprès j'en débranche un sans faire exprès puis j'ai baillé et je me suis dit qu'il faudrait vraiment que je dorme plus de trois heures par nuit
26	1	1	j'ai eu le nez qui coulait et je me suis dit que je n'avais pas de mouchoirs et en plus de ça et après juste après je me suis dit que j'avais froid
26	1	2	au début j'ai pensé à rien enfin je pense et après j'ai eu la chanson allez venir Milord qui m'est venue en tête je ne sais pas pourquoi
26	1	3	
26	1	4	j'ai pensé au fait que j'ai appuyé dans l'enregistrement juste avant deux fois sur la barre j'ai appuyé trop vite du coup ça n'a pas pu enregistrer et je pensais juste avant du coup au fait qu'enfin pourquoi j'avais cette chanson qui m'est venu en tête parce que je connais ni le chanteur ni le titre de la chanson
26	1	5	je me demandais ce que j'allais faire après et à quelle heure j'allais rentrer chez moi qui j'allais voir avant d'aller au sport etc
26	1	6	je pensais au fait que j'allais devoir dire à quoi je pense alors que je pensais à rien enfin rien à part ça
26	1	7	j'ai d'abord pensé au fait que quand j'allais sortir d'ici j'allais avoir mal aux yeux vu que je suis dans le noir depuis quelques minutes quand même puis j'ai pensé au fait enfin je me demandais s'il allait encore faire beau quand j'allais sortir d'ici dehors et après j'étais concentrée sur la tâche
26	2	1	je pensais à rien
26	2	2	je pensais au fait que j'avais les lèvres sèches et qu'il fallait que je mette du beurre de cacao et du coup ça m'a fait penser au fait aussi que je devais acheter de l'huile de coco pour me faire un masque pour les cheveux
26	2	3	je pensais à la personne qui après allait écouter tout ce qu'on raconte enfin pas que moi, mais les autres qui ont fait la même expérience et ce qu'il allait enfin ce qu'il allait en faire et comment il allait enfin mettre tous les enfin bref je ne sais pas expliquer
26	2	4	je pensais à rien de rien en tout cas je m'en non rien et juste à la fin je pensais au fait que j'avais une narine bouchée
26	2	5	je repense à la personne qui allait écouter tout ça et je raconte ma vie mon huile de coco mon nez bouché mon nez qui coule et ce qu'il allait faire de toutes ces informations un peu inutiles
26	2	6	je me disais que la personne qui a créé cette tâche avec cette boule rouge et ce cercle blanc enfin ça ne donnait pas envie de se concentrer du tout cette tâche
26	2	7	je pensais au fait que j'étais très fatiguée parce que hier je suis rentrée très tard et que ce matin je me suis levée très tôt parce que je travaillais le matin et au fait que je termine quasiment jamais mes phrases ou mes phrases elles ne veulent pas dire grand-chose à certains moments
26	2	8	je pensais au fait que j'ai oublié d'appuyer une fois sur la touche quand la boule rouge est passée dans le cercle et après j'ai pensé au fait que je ne devais pas oublier de le dire quand je pense à autre chose finalement j'ai pensé à rien d'autre
27	1	1	donc là j'ai juste pensé à la façon dont c'est passée la pause sans sans vraiment me concentrer sur la séquence
27	1	2	donc là je me demandais si on cherchait naturellement à voir plus de trucs qu'on veut voir ou ou enfin ou s'il se passe vraiment quelque chose et si et ensuite je sais que j'ai pensé à autre chose à rien à voir, mais je sais plus quoi
27	1	3	donc là j'ai pensé au fait que je trouve ça plus difficile enfin de ça demande plus de ressources de devoir se concentrer comme ça et j'ai eu l'impression que la bille allait plus vite puis en fait je me suis rendu compte qu'elle n'allait pas plus vite, mais c'est parce que j'avais l'impression d'avoir plus de choses à faire
27	1	4	
27	1	5	ok donc là j'ai pensé au fait que ça a que ça a duré plus longtemps puis-je me suis rappelé enfin qu'on m'a dit que je devais continuer à bien me concentrer à bien appuyer au bon moment et je me suis demandé si ça faisait partie de l'expérience de me rappeler ça et si ça avait une importance ou pas et voilà
27	1	6	donc d'abord je pensais à pas grand-chose ensuite je me suis demandé à la façon dont j'allais décrire ma pensée je trouvais que ce n'est pas un exercice évident ensuite je me suis repoussé à me concentrer sur la tâche et voilà
27	1	7	donc la me suis rendu compte en fait qu'au plus enfin l'exercice était long et enfin donc au plus de délais essayer me concentre à me rappeler à tout ce que j'ai pensé et donc au plus ça sollicité ma mémoire et donc 'javais moins le temps de penser à d'autres choses qui n'ont rien à voir quoi je devais plus me concentrer sur la tâche
27	2	1	ok donc encore là j'ai pensé à la façon dont se passe la pause ensuite à rien pendant un moment et ensuite à un peu j'essayais de me concentrer sur ce qu'il se passait, mais je n'ai rien trouvé
27	2	2	donc là je me suis dit que je trouvais que l'exercice était difficile ensuite je me suis enfin je me suis dit que c'était juste raconter et que ce n'était pas forcément difficile
27	2	3	donc au début je me suis rappelé que les séquences allaient augmenter avec le temps puis-je me suis demandé comment est ce qu'ils allaient classer ça enfin en fait c'est différent de l'autre l'autre exercice plus facile à classer et donc si cette fois en fait j'ai l'impression que ça va être plus facile à classer et ensuite j'ai pensé à rien en particulier
27	2	4	bon alors là j'ai du mal à expliquer la séquence, mais j'ai pensé à plein de petits de tout petits éléments et il n'y a vraiment eu d'espaces blancs, c'était que des tous petits éléments, mais je n'arriverais pas à décrire vraiment chacun
27	2	5	donc d'abord j'ai pensé à la tâche donc à me concentrer quand même à bien faire ensuite je me suis demandé si ça si le fait que la tâche n'est pas de d'importance joue sur un peu l'implication qu'on y mette à se concentrer sur cette chose en particulier quoi et que ça aurait enfin je me demandais si la qualité en fait de la tâche avait un impact sur ma façon de répondre de performer entre guillemets à ça quoi
27	2	6	donc la repensais juste au trajet en fait de enfin au trajet que j'ai parcouru pour arriver jusque ici ici en termes de local et et c'est à peu près tout
27	2	7	donc je me suis rendu compte que mes pensées était beaucoup plus floues et un peu confuses et puis-je me suis demandé ça avait un lien enfin un peu comme avant si ça avait un lien avec là la difficulté de la tâche qui demandait plus de ressources et ensuite j'ai pensé à rien en particulier
27	2	8	donc d'alors je me suis dit que j'allais me concentre une fois pour bien faire l'exercice ensuite ensuite je je m'étais rendu compte que il y a un moment où j'avais du mal à me concentrer puis j'ai essayé de me reconcentrer donc je me suis reconcentré sur la tâche et ensuite j'ai essayé de me rappeler des des consignes enfin la façon dont je devais faire etc et ensuite à rien en particulier
28	1	1	j'avais un blanc j'étais perdue dans ma pensée en fait j'étais pas perdue, mais je pensais à rien quoi
28	1	2	au départ je pensais à l'origine de l'expérimentatrice je ne sais pas le lien que ça a et puis j'ai essayé de me concentrée sur l'expo la tâche
28	1	3	j'étais d'abord concentrée puis j'ai pensé d'un coup à ma copine est ce qu'elle va venir aujourd'hui ou pas et puis j'ai pensé à un livre que j'ai acheté hier dans un XXX
28	1	4	j'ai pensé à mon cours d'anglais que cette près midi, c'est la première fois que je vais y aller j'ai pensé à ça vite fait et puis j'ai continué à faire la tâche
28	1	5	j'étais en train de faire la tâche, mais sans vraiment penser à la tâche j'avais un blanc et puis d'un coup j'ai pensé à mon nez est ce que j'ai un nez grand ou pas, c'est le genre de questions que je me pose
28	1	6	j'étais en train de suivre la boule rouge et j'ai pensé à l'horloge de ma mère qui est tout ancien et qui fait va et vient comme la boule rouge
28	1	7	je pensais à mon planning d'aujourd'hui donc est ce que je vais être toute seule pour manger et puis je vais aller à la bibliothèque et puis j'ai essayé de me concentrer sur la boule rouge et de d'appuyer au bon moment et puis j'ai continué à penser à mon planning quoi
28	2	1	j'avais un blanc je pensais vraiment pas à quelque chose
28	2	2	je pensais à l'expérimentatrice, mais je ne sais pas à quoi je pensais
28	2	3	j'ai tout d'abord pensé à faire la tâche et puis j'ai directement pensé au master et à mes études parce que je vais aussi faire des expériences comme ça et tout
28	2	4	j'essayais de me concentrer sur la tâche d'appuyer au bon moment et puis j'ai pensé à ma nièce qui était venue ce matin chez moi et voilà
28	2	5	j'ai pensé à des choses, mais maintenant je ne me rappelle plus
28	2	6	j'essaie de penser à la tâche de le faire correctement, mais de plus en plus je pense à autre chose j'ai d'abord pensé à mes vacances et puis à une amie est ce qu'elle va venir ou pas et puis j'ai pensé à l'appareil photo que je vais acheter dans deux jours
28	2	7	j'ai fait l'expérience sans vraiment penser à quelque chose
28	2	8	je me rappelle plus à quoi j'ai pensé au début de l'expérience, mais vers milieu j'ai pensé à faire la tâche et puis et puis j'ai pensé à mes études et à mes examens
29	1	1	maintenant que l'entrainement est terminé c'est plus l'ambiance de se retrouver entre quatre murs dans le noir
29	1	2	je me demande comment cet exercice quel est le but de cet exercice qui pourra aider les expérimentateurs
29	1	3	la manière de, c'est dur de décrire sa pensée à l'enregistrement
29	1	4	j'ai commencé à angoisser un petit peu
29	1	5	j'ai commencé à à stresser, mais pas énormément parce que je pense que je commence à avoir du mal à voir le cercle rouge dans le cercle blanc
29	1	6	j'ai repensé à ma dernière expérience dans dans un laboratoire
29	1	7	j'ai pensé que c'est c'est dur d'exprimer ses pensées de d'expliquer ce qu'on pense
29	2	1	je n'arrive pas à exprimer ma pensée XXX je pensais à plein de choses et je me souviens un peu dans le désordre
29	2	2	au fait que je vais retrouver ma famille
29	2	3	je n'ai pas eu de pensées c'était plus blanc
29	2	4	je n'ai pas eu de pensées spécialement je comptais combien de fois la boule le cercle rouge allait dans le cercle blanc
29	2	5	au fait que ce matin c'était la première fois, c'était la première fois qu'en me griffant que je saignais de la tête en me griffant
29	2	6	je pense que je ne fais pas un bon sujet pour cette expérience parce que j'ai l'impression que mes réponses ne sont pas sont pas très constructives
29	2	7	je n'ai pas réellement eu de pensées j'ai été distraite parce que parce que ma main me piquait
29	2	8	je me remémorais mon enfance
30	1	1	je pensais à la consigne que qu'il fallait que je raconte ce que je pense et c'est la consigne que je pense
30	1	2	à ce que je viens de dire si c'était grammaticalement correct ou bien si je raconte n'importe quoi
30	1	3	à la durée ou bien le temps d'interruption entre les séquences
30	1	4	je ne suis pas sure, mais il y a pleins de choses qui se sont passées dans ma tête mais c'était par rapport à la durée de l'étude enfin à la durée de d'interruption entre les séquences
30	1	5	alors je me disais qu'il fallait que je me détecte parce que puisse être que ça allait encore durer plus longtemps et continuer à fait expérience à l'aise
30	1	6	je pense à ce que j'avais dit enfin à la à la séquence précédente par rapport à être à l'aise
30	1	7	alors d'abord je pensais que c'était difficile pour moi de raconter tout ce que je viens de penser et que ce n'était pas, c'est pas que j'ai un problème de raconter ou un problème grammatical ou je sais pas c'est difficile de s'exprimer enfin de prendre ce que la tête dit
30	2	1	je me demandais si j'avais des questions et je me demandais à quel type de questions je pourrais demander, mais comme j'ai a ps de question j'en ai pas
30	2	2	alors je pensais à rien j'étais concentrée sur le boule rouge et le petit blanc là
30	2	3	alors c'est par rapport je pensais au temps que ça prenait l'interruption entre les séquences précédentes et cette interruption et que c'était enfin et que l'interruption devenait de plus en plus courte
30	2	5	toujours rien je n'ai rien à raconter depuis le début rien
30	2	6	alors je me demande pourquoi je ne pense rien du tout enfin rien ne se passe dans ma tête rien je regarde, je fais ce qu'on m'a demandé de faire j'appuie chaque fois que le petit rouge est dans le blanc je n'ai rien à penser
30	2	7	alors d'abord je me suis posée la même question pourquoi je pense à rien après je me suis concentrée sur l'expérience sur ce que je devrais faire et enfin même suis imaginée ce qu'il se passait chaque fois que le petit boule rouge passait le petit enfin le cercle blanc
30	2	8	alors je pensais qu'il fallait que je prenne le temps d'expliquer ce que je pensais avant même si c'était même si c'était même si ce n'était rien mais trouver les mots les bons mots pour Bîne expliquer enfin je crois
31	1	1	je ne pense rien du tout là
31	1	2	je pense ua fait que j'avais plein de trucs à fait encore et que je devais m'organiser
31	1	3	j'ai eu un blanc puis j'ai pensé à un pote à moi quand est ce qu'il allait revenir et puis je sais plus je pensais à la boule rouge la vitesse
31	1	4	j'étais en train de me dire que mon meilleur ami devait faire son passeport et qu'il restait plus que deux mois que je me demandais combien de temps enfin s'il allait réussir à avoir nos passeports ou pas
31	1	5	au début je pensais à ma pote que j'ai croisé ce matin de ce qu'elle m'avait dit et pus j'ai commencé à penser aux gens qui avaient raté leurs examens
31	1	6	j'étais en train de me dire que c'était long et puis-je me reposais la question pourquoi la boule était rouge et pas une autre couleur
31	1	7	j'étais en train de me dire que je ferais bien une sieste et que je ne peux pas parce que je suis en train de faire une expérience et que voilà
31	2	1	je ne pensais pas grand-chose juste au fait que la boule qui fallait appuyer pour que la boule rouge soit dans le cercle blanc
31	2	2	je pensais à rien du tout
31	2	3	je pensais toujours à rien
31	2	4	j'étais en train de me demander enfin que je voulais me faire tatouer, mais je ne sais pas ou et j'hésite avec pleins de trucs
31	2	5	j'étais en train de me dire que j'étais plus du tout concentré
31	2	6	j'étais en train de me dire que XXX quand je devais me reconcentrer, mais que je n'y arrivais pas et que c'était impossible
31	2	7	j'étais en train de me demander si on peut voir combien de fois j'la oublié d'appuyer sur la touche
31	2	8	j'étais en train de me dire qu'il ne fallait pas que j'oublie de demander si on peut voir combien de fois j'ai raté d'appuyer sur la touche et puis j'ai repensé au moment où j'étais parti en vacances parce que j'ai XXX ce qu'il s'est passé
32	1	1	je viens de sentir mon pied craquer ensuite j'ai eu un gros blanc et puis-je me suis dit avant de commencer l'exercice suivant je vais me moucher
32	1	2	je suis ultra distraite par le fait que mon nez est bouché et que je n'ai pas eu le temps de me moucher et que j'avais oublié qu'il n'y avait plus de pauses entre les exercices
32	1	3	je n'ai pas pensé à grand-chose au début ou en fait je n'ai pensé à rien tout le début et avant que la tâche ne se termine j'ai pensé au fait que cette après midi j'ai une réunion qui est plutôt très chouette et que je dois prévenir mon amie quand je suis sortie d'ici
32	1	4	je ne me souviens plus vraiment de ce que j'ai pensé je me souviens juste que j'étais un peu gênée quand la dame m'a apporté le paquet de mouchoir, mais que je me sens tellement mieux maintenant et ensuite je me suis de nouveau demandé qu'est-ce qu'elle peut bien faire pendant que je fais mon exercice
32	1	5	j'ai eu un petit blanc quand l'exercice a commencé ensuite je me suis demandée quels vont être mes résultats et s'ils vont être utiles et puis j'ai de nouveau eu un blanc et puis-je me suis dit que ça devenait quand même un peu long
32	1	6	je me suis dit que je ne dois pas finir les mouchoirs de l'examinatrice et qu'au pire je lui donnerais un autre paquet puis j'ai eu u assez gros blanc ensuite je me souviens déjà plus de ce que j'ai pu penser et après ça je me suis demandée ce que j'allais faire en sortant d'ici à part appeler et prendre mon rendez
32	1	7	j'arrête pas de parler d'un rendez-vous, mais je trouve ça un peu gênant de dire ce que c'est alors que quelque part ça ne devrait pas l'être mais je ne préfère pas le dire puis j'ai continué à penser à ça jusqu'à à peu près la moitié je dirais ensuite j'ai eu un assez gros blanc et puis je me suis demandée ce que l'examinatrice allait pouvoir penser ou plutôt l'expo enfin allait pouvoir penser juste en écoutant cet enregistrement-là
32	2	1	je dois absolument faire pipi puis-je me suis dit que la dame de l'expérience était super jolie et heureusement qu'elle était gentille parce que mon expérience S'ONT précédente je n'ai pas du tout aimé la dame pour qui j'ai fait l'expérience et voilà je n'ai pas pensé à quelque chose d'autre
32	2	2	j'ai eu un assez gros blanc et pour fini j'ai juste repensé au fait que je devais aller aux toilettes et que du coup je n'arrêtais pas de bouger mes jambes et que je devais arrêter
32	2	3	je ne pensais à rien d'autre que le fait que ce disque rouge que si je fixe le disque rouge et pas le cercle blanc j'ai l'impression que je risque tourne sur lui même or que je ne pense pas qu'il le fasse
32	2	4	la pensée que j'ai eue juste avant était super bête puis-je me suis demandée ou pouvais être le micro sur cet ordi en espérant que je n'avais pas mon bras dessus pendant la moitié des exercices et je n'ai rien pensé d'autre
32	2	5	la première chose à laquelle j'ai pensé, c'est que je voyais un peu la souris dans le coin de l'écran ensuite je me suis demandée en quelle année a été faite le bâtiment parce qu'on entend les bruits qu'il y a au-dessus et puis-je me suis dit que je sais plus je sais plus ce que je me suis dit en dernier
32	2	6	j'ai continué à me demander ce que j'avais dit en dernier, mais je n'arrive vraiment pas enfin ce que j'avais dit ce que j'avais pensé en dernier, mais je n'arrive vraiment pas à me souvenir de ma pensée ensuite je me suis dit que mes réponses sont peut-être un peu bête que j'ai parfois des pensées un peu bêtes et banales et puis j'ai juste pensé au fait que je dois faire pipi et que je devrais arrêter de boire du café le matin
32	2	7	je me demande si la dame de l'expérience m'entends pendant que je fais l'exercice vu que j'ai un casque je ne sais pas je parle fort ou non et puis je ne sais pas pourquoi j'aipensé au fait ou plutôt je me suis demandé pourquoi le disque rouge n'allait pas plus aux extrémités quand il allait de droite à gauche
